date,state,fips,cases,deaths
2020-01-21,Washington,53,1,0
2020-01-22,Washington,53,1,0
2020-01-23,Washington,53,1,0
2020-01-24,Washington,53,1,0
2020-01-25,Washington,53,1,0
2020-01-26,Washington,53,1,0
2020-01-27,Washington,53,1,0
2020-01-28,Washington,53,1,0
2020-01-29,Washington,53,1,0
2020-01-30,Washington,53,1,0
2020-01-31,Washington,53,1,0
2020-02-01,Washington,53,1,0
2020-02-02,Washington,53,1,0
2020-02-03,Washington,53,1,0
2020-02-04,Washington,53,1,0
2020-02-05,Washington,53,1,0
2020-02-06,Washington,53,1,0
2020-02-07,Washington,53,1,0
2020-02-08,Washington,53,1,0
2020-02-09,Washington,53,1,0
2020-02-10,Washington,53,1,0
2020-02-11,Washington,53,1,0
2020-02-12,Washington,53,1,0
2020-02-13,Washington,53,1,0
2020-02-14,Washington,53,1,0
2020-02-15,Washington,53,1,0
2020-02-16,Washington,53,1,0
2020-02-17,Washington,53,1,0
2020-02-18,Washington,53,1,0
2020-02-19,Washington,53,1,0
2020-02-20,Washington,53,1,0
2020-02-21,Washington,53,1,0
2020-02-22,Washington,53,1,0
2020-02-23,Washington,53,1,0
2020-02-24,Washington,53,5,0
2020-02-25,Washington,53,5,0
2020-02-26,Washington,53,5,0
2020-02-27,Washington,53,5,0
2020-02-28,Washington,53,7,0
2020-02-29,Washington,53,10,1
2020-03-01,Washington,53,17,3
2020-03-02,Washington,53,23,6
2020-03-03,Washington,53,32,10
2020-03-04,Washington,53,47,11
2020-03-05,Washington,53,75,11
2020-03-06,Washington,53,86,12
2020-03-07,Washington,53,110,16
2020-03-08,Washington,53,141,19
2020-03-09,Washington,53,179,22
2020-03-10,Washington,53,279,24
2020-03-11,Washington,53,338,29
2020-03-12,Washington,53,419,32
2020-03-13,Washington,53,511,37
2020-03-14,Washington,53,609,40
2020-03-15,Washington,53,675,42
2020-03-16,Washington,53,794,48
2020-03-17,Washington,53,908,54
2020-03-18,Washington,53,1026,68
2020-03-19,Washington,53,1228,75
2020-03-20,Washington,53,1404,83
2020-03-21,Washington,53,1655,95
2020-03-22,Washington,53,1844,97
2020-03-23,Washington,53,2101,110
2020-03-24,Washington,53,2469,123
2020-03-25,Washington,53,2585,130
2020-03-26,Washington,53,3208,152
2020-03-27,Washington,53,3770,179
2020-03-28,Washington,53,4311,193
2020-03-29,Washington,53,4897,209
2020-03-30,Washington,53,5180,221
2020-03-31,Washington,53,5293,226
2020-04-01,Washington,53,5589,250
2020-04-02,Washington,53,6586,272
2020-04-03,Washington,53,6967,293
2020-04-04,Washington,53,7499,318
2020-04-05,Washington,53,7985,344
2020-04-06,Washington,53,8385,383
2020-04-07,Washington,53,8683,409
2020-04-08,Washington,53,9098,430
2020-04-09,Washington,53,9609,456
2020-04-10,Washington,53,9888,483
