date,state,fips,cases,deaths
2020-03-07,Hawaii,15,1,0
2020-03-08,Hawaii,15,2,0
2020-03-09,Hawaii,15,2,0
2020-03-10,Hawaii,15,2,0
2020-03-11,Hawaii,15,2,0
2020-03-12,Hawaii,15,2,0
2020-03-13,Hawaii,15,2,0
2020-03-14,Hawaii,15,4,0
2020-03-15,Hawaii,15,7,0
2020-03-16,Hawaii,15,10,0
2020-03-17,Hawaii,15,14,0
2020-03-18,Hawaii,15,16,0
2020-03-19,Hawaii,15,26,0
2020-03-20,Hawaii,15,37,0
2020-03-21,Hawaii,15,48,0
2020-03-22,Hawaii,15,56,0
2020-03-23,Hawaii,15,77,0
2020-03-24,Hawaii,15,90,0
2020-03-25,Hawaii,15,95,0
2020-03-26,Hawaii,15,106,0
2020-03-27,Hawaii,15,120,0
2020-03-28,Hawaii,15,151,0
2020-03-29,Hawaii,15,175,0
2020-03-30,Hawaii,15,204,0
2020-03-31,Hawaii,15,224,1
2020-04-01,Hawaii,15,258,1
2020-04-02,Hawaii,15,283,2
2020-04-03,Hawaii,15,317,3
2020-04-04,Hawaii,15,349,3
2020-04-05,Hawaii,15,369,4
2020-04-06,Hawaii,15,385,5
2020-04-07,Hawaii,15,408,5
2020-04-08,Hawaii,15,433,5
2020-04-09,Hawaii,15,440,6
2020-04-10,Hawaii,15,463,8
2020-04-11,Hawaii,15,484,8
2020-04-12,Hawaii,15,497,9
2020-04-13,Hawaii,15,502,9
2020-04-14,Hawaii,15,511,9
2020-04-15,Hawaii,15,524,9
2020-04-16,Hawaii,15,535,9
2020-04-17,Hawaii,15,547,9
2020-04-18,Hawaii,15,568,9
2020-04-19,Hawaii,15,574,10
2020-04-20,Hawaii,15,578,10
2020-04-21,Hawaii,15,580,12
2020-04-22,Hawaii,15,586,12
2020-04-23,Hawaii,15,590,12
2020-04-24,Hawaii,15,595,13
2020-04-25,Hawaii,15,597,14
2020-04-26,Hawaii,15,599,14
2020-04-27,Hawaii,15,600,16
2020-04-28,Hawaii,15,602,16
2020-04-29,Hawaii,15,605,16
2020-04-30,Hawaii,15,609,16
2020-05-01,Hawaii,15,610,16
2020-05-02,Hawaii,15,611,16
2020-05-03,Hawaii,15,611,17
2020-05-04,Hawaii,15,612,17
2020-05-05,Hawaii,15,615,17
2020-05-06,Hawaii,15,616,17
2020-05-07,Hawaii,15,619,17
2020-05-08,Hawaii,15,619,17
2020-05-09,Hawaii,15,620,17
2020-05-10,Hawaii,15,621,17
2020-05-11,Hawaii,15,623,17
2020-05-12,Hawaii,15,624,17
2020-05-13,Hawaii,15,627,17
2020-05-14,Hawaii,15,627,17
2020-05-15,Hawaii,15,628,17
2020-05-16,Hawaii,15,629,17
2020-05-17,Hawaii,15,630,17
2020-05-18,Hawaii,15,630,17
2020-05-19,Hawaii,15,631,17
2020-05-20,Hawaii,15,633,17
2020-05-21,Hawaii,15,637,17
2020-05-22,Hawaii,15,632,17
2020-05-23,Hawaii,15,633,17
2020-05-24,Hawaii,15,633,17
2020-05-25,Hawaii,15,633,17
2020-05-26,Hawaii,15,633,17
2020-05-27,Hawaii,15,634,17
2020-05-28,Hawaii,15,637,17
2020-05-29,Hawaii,15,639,17
2020-05-30,Hawaii,15,641,17
2020-05-31,Hawaii,15,642,17
2020-06-01,Hawaii,15,642,17
2020-06-02,Hawaii,15,643,17
2020-06-03,Hawaii,15,643,17
2020-06-04,Hawaii,15,644,17
2020-06-05,Hawaii,15,653,17
2020-06-06,Hawaii,15,661,17
2020-06-07,Hawaii,15,663,17
2020-06-08,Hawaii,15,664,17
2020-06-09,Hawaii,15,670,17
2020-06-10,Hawaii,15,673,17
2020-06-11,Hawaii,15,680,17
2020-06-12,Hawaii,15,694,17
2020-06-13,Hawaii,15,711,17
2020-06-14,Hawaii,15,716,17
2020-06-15,Hawaii,15,724,17
2020-06-16,Hawaii,15,728,17
2020-06-17,Hawaii,15,732,17
2020-06-18,Hawaii,15,750,17
2020-06-19,Hawaii,15,777,17
2020-06-20,Hawaii,15,791,17
2020-06-21,Hawaii,15,802,17
2020-06-22,Hawaii,15,804,17
2020-06-23,Hawaii,15,807,17
2020-06-24,Hawaii,15,821,17
2020-06-25,Hawaii,15,836,17
2020-06-26,Hawaii,15,850,17
2020-06-27,Hawaii,15,856,18
2020-06-28,Hawaii,15,883,18
2020-06-29,Hawaii,15,884,18
