date,state,fips,cases,deaths
2020-03-04,North Carolina,37,1,0
2020-03-05,North Carolina,37,1,0
2020-03-06,North Carolina,37,2,0
2020-03-07,North Carolina,37,2,0
2020-03-08,North Carolina,37,2,0
2020-03-09,North Carolina,37,7,0
2020-03-10,North Carolina,37,7,0
2020-03-11,North Carolina,37,8,0
2020-03-12,North Carolina,37,16,0
2020-03-13,North Carolina,37,18,0
2020-03-14,North Carolina,37,25,0
2020-03-15,North Carolina,37,32,0
2020-03-16,North Carolina,37,34,0
2020-03-17,North Carolina,37,42,0
2020-03-18,North Carolina,37,66,0
2020-03-19,North Carolina,37,104,0
2020-03-20,North Carolina,37,144,0
2020-03-21,North Carolina,37,184,0
2020-03-22,North Carolina,37,269,0
2020-03-23,North Carolina,37,302,0
2020-03-24,North Carolina,37,397,0
2020-03-25,North Carolina,37,562,1
2020-03-26,North Carolina,37,639,2
2020-03-27,North Carolina,37,784,3
2020-03-28,North Carolina,37,972,4
2020-03-29,North Carolina,37,1166,6
2020-03-30,North Carolina,37,1303,6
2020-03-31,North Carolina,37,1527,10
2020-04-01,North Carolina,37,1591,11
2020-04-02,North Carolina,37,1858,17
2020-04-03,North Carolina,37,2093,23
2020-04-04,North Carolina,37,2402,30
2020-04-05,North Carolina,37,2585,37
2020-04-06,North Carolina,37,2870,42
2020-04-07,North Carolina,37,3220,50
2020-04-08,North Carolina,37,3423,61
2020-04-09,North Carolina,37,3651,74
2020-04-10,North Carolina,37,3906,78
2020-04-11,North Carolina,37,4310,86
2020-04-12,North Carolina,37,4520,86
2020-04-13,North Carolina,37,4788,91
2020-04-14,North Carolina,37,4992,116
2020-04-15,North Carolina,37,5123,128
2020-04-16,North Carolina,37,5463,140
2020-04-17,North Carolina,37,5859,159
2020-04-18,North Carolina,37,6140,175
2020-04-19,North Carolina,37,6493,183
2020-04-20,North Carolina,37,6764,187
2020-04-21,North Carolina,37,6951,217
2020-04-22,North Carolina,37,7220,242
2020-04-23,North Carolina,37,7608,253
2020-04-24,North Carolina,37,8052,270
2020-04-25,North Carolina,37,8548,304
2020-04-26,North Carolina,37,8830,309
2020-04-27,North Carolina,37,9035,331
2020-04-28,North Carolina,37,9568,353
2020-04-29,North Carolina,37,9947,366
2020-04-30,North Carolina,37,10507,385
2020-05-01,North Carolina,37,10922,405
2020-05-02,North Carolina,37,11514,428
2020-05-03,North Carolina,37,11668,436
2020-05-04,North Carolina,37,11871,454
2020-05-05,North Carolina,37,12283,477
