date,state,fips,cases,deaths
2020-03-06,Indiana,18,1,0
2020-03-07,Indiana,18,1,0
2020-03-08,Indiana,18,2,0
2020-03-09,Indiana,18,4,0
2020-03-10,Indiana,18,6,0
2020-03-11,Indiana,18,11,0
2020-03-12,Indiana,18,12,0
2020-03-13,Indiana,18,12,0
2020-03-14,Indiana,18,15,0
2020-03-15,Indiana,18,19,0
2020-03-16,Indiana,18,24,1
2020-03-17,Indiana,18,30,2
2020-03-18,Indiana,18,39,2
2020-03-19,Indiana,18,56,2
2020-03-20,Indiana,18,81,5
2020-03-21,Indiana,18,128,6
2020-03-22,Indiana,18,204,9
2020-03-23,Indiana,18,264,12
2020-03-24,Indiana,18,371,17
2020-03-25,Indiana,18,484,19
2020-03-26,Indiana,18,661,23
2020-03-27,Indiana,18,992,32
2020-03-28,Indiana,18,1239,38
2020-03-29,Indiana,18,1522,40
2020-03-30,Indiana,18,1797,44
2020-03-31,Indiana,18,2177,61
2020-04-01,Indiana,18,2578,80
2020-04-02,Indiana,18,3056,94
2020-04-03,Indiana,18,3455,118
2020-04-04,Indiana,18,3975,136
2020-04-05,Indiana,18,4437,151
2020-04-06,Indiana,18,4986,171
2020-04-07,Indiana,18,5544,208
2020-04-08,Indiana,18,5986,246
2020-04-09,Indiana,18,6400,295
2020-04-10,Indiana,18,6960,353
2020-04-11,Indiana,18,7494,389
2020-04-12,Indiana,18,7990,405
2020-04-13,Indiana,18,8300,414
2020-04-14,Indiana,18,8598,458
2020-04-15,Indiana,18,9030,511
2020-04-16,Indiana,18,9619,554
2020-04-17,Indiana,18,10235,599
2020-04-18,Indiana,18,10730,633
2020-04-19,Indiana,18,11301,652
2020-04-20,Indiana,18,11784,666
2020-04-21,Indiana,18,12214,731
2020-04-22,Indiana,18,12575,764
2020-04-23,Indiana,18,13196,811
2020-04-24,Indiana,18,13848,851
2020-04-25,Indiana,18,14567,897
2020-04-26,Indiana,18,15187,928
2020-04-27,Indiana,18,16137,932
2020-04-28,Indiana,18,16783,992
2020-04-29,Indiana,18,17409,1065
2020-04-30,Indiana,18,18099,1114
2020-05-01,Indiana,18,18941,1175
2020-05-02,Indiana,18,19629,1229
2020-05-03,Indiana,18,20267,1246
2020-05-04,Indiana,18,20855,1264
2020-05-05,Indiana,18,21423,1326
2020-05-06,Indiana,18,22286,1377
2020-05-07,Indiana,18,22942,1414
2020-05-08,Indiana,18,23620,1447
2020-05-09,Indiana,18,24239,1490
2020-05-10,Indiana,18,24633,1508
2020-05-11,Indiana,18,25134,1540
2020-05-12,Indiana,18,25676,1578
2020-05-13,Indiana,18,26044,1619
2020-05-14,Indiana,18,26627,1646
2020-05-15,Indiana,18,27281,1691
2020-05-16,Indiana,18,27919,1741
2020-05-17,Indiana,18,28419,1751
2020-05-18,Indiana,18,28897,1765
2020-05-19,Indiana,18,29402,1824
2020-05-20,Indiana,18,29986,1864
2020-05-21,Indiana,18,30673,1913
2020-05-22,Indiana,18,31165,1941
2020-05-23,Indiana,18,31674,1964
2020-05-24,Indiana,18,32151,1976
2020-05-25,Indiana,18,32489,1984
2020-05-26,Indiana,18,32856,2004
2020-05-27,Indiana,18,33242,2030
2020-05-28,Indiana,18,33885,2068
2020-05-29,Indiana,18,34399,2110
2020-05-30,Indiana,18,35064,2125
2020-05-31,Indiana,18,35429,2134
2020-06-01,Indiana,18,35684,2142
2020-06-02,Indiana,18,36129,2197
2020-06-03,Indiana,18,36609,2207
2020-06-04,Indiana,18,37005,2231
2020-06-05,Indiana,18,37499,2258
2020-06-06,Indiana,18,37928,2292
2020-06-07,Indiana,18,38328,2303
2020-06-08,Indiana,18,38553,2316
2020-06-09,Indiana,18,38985,2339
2020-06-10,Indiana,18,39297,2355
2020-06-11,Indiana,18,39714,2380
2020-06-12,Indiana,18,40114,2396
2020-06-13,Indiana,18,40535,2413
2020-06-14,Indiana,18,40901,2422
2020-06-15,Indiana,18,41422,2433
2020-06-16,Indiana,18,41780,2447
2020-06-17,Indiana,18,42036,2475
2020-06-18,Indiana,18,42480,2491
2020-06-19,Indiana,18,42801,2516
2020-06-20,Indiana,18,43135,2536
2020-06-21,Indiana,18,43496,2540
2020-06-22,Indiana,18,43709,2553
2020-06-23,Indiana,18,43967,2569
2020-06-24,Indiana,18,44260,2578
2020-06-25,Indiana,18,44779,2586
2020-06-26,Indiana,18,45269,2595
2020-06-27,Indiana,18,45707,2616
2020-06-28,Indiana,18,46071,2619
2020-06-29,Indiana,18,46370,2624
2020-06-30,Indiana,18,46740,2640
2020-07-01,Indiana,18,47116,2650
2020-07-02,Indiana,18,47553,2662
2020-07-03,Indiana,18,48099,2682
2020-07-04,Indiana,18,48628,2687
2020-07-05,Indiana,18,49203,2693
2020-07-06,Indiana,18,49560,2698
2020-07-07,Indiana,18,49859,2717
2020-07-08,Indiana,18,50309,2732
2020-07-09,Indiana,18,50829,2739
2020-07-10,Indiana,18,51567,2748
2020-07-11,Indiana,18,52358,2756
2020-07-12,Indiana,18,52892,2760
2020-07-13,Indiana,18,53327,2762
2020-07-14,Indiana,18,54001,2775
2020-07-15,Indiana,18,54698,2785
2020-07-16,Indiana,18,55413,2795
2020-07-17,Indiana,18,56160,2803
2020-07-18,Indiana,18,57045,2820
2020-07-19,Indiana,18,57965,2822
2020-07-20,Indiana,18,58607,2825
2020-07-21,Indiana,18,59344,2846
2020-07-22,Indiana,18,60126,2863
2020-07-23,Indiana,18,61079,2880
2020-07-24,Indiana,18,62081,2884
2020-07-25,Indiana,18,63030,2895
2020-07-26,Indiana,18,63881,2903
2020-07-27,Indiana,18,64417,2906
2020-07-28,Indiana,18,65258,2924
2020-07-29,Indiana,18,65918,2932
2020-07-30,Indiana,18,66883,2946
2020-07-31,Indiana,18,67800,2965
2020-08-01,Indiana,18,68773,2971
2020-08-02,Indiana,18,69531,2975
2020-08-03,Indiana,18,70111,2980
2020-08-04,Indiana,18,70944,2996
2020-08-05,Indiana,18,71685,3007
2020-08-06,Indiana,18,72741,3013
2020-08-07,Indiana,18,73986,3023
2020-08-08,Indiana,18,75025,3036
2020-08-09,Indiana,18,76071,3041
2020-08-10,Indiana,18,76734,3044
2020-08-11,Indiana,18,77625,3069
2020-08-12,Indiana,18,78337,3086
2020-08-13,Indiana,18,79404,3105
2020-08-14,Indiana,18,80507,3113
2020-08-15,Indiana,18,81561,3128
2020-08-16,Indiana,18,82304,3133
2020-08-17,Indiana,18,82909,3135
2020-08-18,Indiana,18,83799,3165
2020-08-19,Indiana,18,84308,3180
2020-08-20,Indiana,18,85257,3191
2020-08-21,Indiana,18,86312,3208
2020-08-22,Indiana,18,87325,3218
2020-08-23,Indiana,18,87942,3220
2020-08-24,Indiana,18,89602,3225
2020-08-25,Indiana,18,90460,3241
2020-08-26,Indiana,18,91403,3259
2020-08-27,Indiana,18,92566,3266
