date,state,fips,cases,deaths
2020-03-09,Connecticut,09,2,0
2020-03-10,Connecticut,09,2,0
2020-03-11,Connecticut,09,3,0
2020-03-12,Connecticut,09,6,0
2020-03-13,Connecticut,09,11,0
2020-03-14,Connecticut,09,20,0
2020-03-15,Connecticut,09,26,0
2020-03-16,Connecticut,09,41,0
2020-03-17,Connecticut,09,68,0
2020-03-18,Connecticut,09,96,1
2020-03-19,Connecticut,09,159,4
2020-03-20,Connecticut,09,194,4
2020-03-21,Connecticut,09,223,5
2020-03-22,Connecticut,09,327,8
2020-03-23,Connecticut,09,415,10
2020-03-24,Connecticut,09,618,12
2020-03-25,Connecticut,09,875,19
2020-03-26,Connecticut,09,1012,21
2020-03-27,Connecticut,09,1291,27
2020-03-28,Connecticut,09,1524,33
2020-03-29,Connecticut,09,1993,34
2020-03-30,Connecticut,09,2571,36
2020-03-31,Connecticut,09,3128,69
2020-04-01,Connecticut,09,3557,85
2020-04-02,Connecticut,09,3824,112
2020-04-03,Connecticut,09,4915,132
2020-04-04,Connecticut,09,5276,165
2020-04-05,Connecticut,09,5675,189
2020-04-06,Connecticut,09,6906,206
2020-04-07,Connecticut,09,7781,277
2020-04-08,Connecticut,09,8781,335
2020-04-09,Connecticut,09,9784,380
2020-04-10,Connecticut,09,10538,448
2020-04-11,Connecticut,09,11510,494
2020-04-12,Connecticut,09,12035,554
2020-04-13,Connecticut,09,13381,602
2020-04-14,Connecticut,09,13989,671
2020-04-15,Connecticut,09,14755,868
2020-04-16,Connecticut,09,15884,971
2020-04-17,Connecticut,09,16809,1036
2020-04-18,Connecticut,09,17550,1086
2020-04-19,Connecticut,09,17962,1127
2020-04-20,Connecticut,09,19815,1331
2020-04-21,Connecticut,09,20360,1423
2020-04-22,Connecticut,09,22469,1544
2020-04-23,Connecticut,09,23100,1639
2020-04-24,Connecticut,09,23921,1764
2020-04-25,Connecticut,09,24582,1862
2020-04-26,Connecticut,09,25269,1925
2020-04-27,Connecticut,09,25997,2012
2020-04-28,Connecticut,09,26312,2089
2020-04-29,Connecticut,09,26767,2168
2020-04-30,Connecticut,09,27700,2257
2020-05-01,Connecticut,09,28764,2339
2020-05-02,Connecticut,09,29287,2436
2020-05-03,Connecticut,09,29287,2436
2020-05-04,Connecticut,09,29973,2556
2020-05-05,Connecticut,09,30621,2633
2020-05-06,Connecticut,09,30995,2718
2020-05-07,Connecticut,09,31784,2797
2020-05-08,Connecticut,09,32411,2874
2020-05-09,Connecticut,09,32984,2932
2020-05-10,Connecticut,09,33554,2967
2020-05-11,Connecticut,09,33765,3008
2020-05-12,Connecticut,09,34333,3041
2020-05-13,Connecticut,09,34855,3125
2020-05-14,Connecticut,09,35464,3219
2020-05-15,Connecticut,09,36085,3285
2020-05-16,Connecticut,09,36703,3339
2020-05-17,Connecticut,09,37419,3408
2020-05-18,Connecticut,09,38116,3449
2020-05-19,Connecticut,09,38430,3472
2020-05-20,Connecticut,09,39017,3529
2020-05-21,Connecticut,09,39208,3582
2020-05-22,Connecticut,09,39640,3637
2020-05-23,Connecticut,09,40022,3675
2020-05-24,Connecticut,09,40468,3693
2020-05-25,Connecticut,09,40873,3742
2020-05-26,Connecticut,09,41303,3769
2020-05-27,Connecticut,09,41288,3803
2020-05-28,Connecticut,09,41559,3826
2020-05-29,Connecticut,09,41762,3868
2020-05-30,Connecticut,09,42022,3912
2020-05-31,Connecticut,09,42201,3944
2020-06-01,Connecticut,09,42740,3964
2020-06-02,Connecticut,09,42979,3972
2020-06-03,Connecticut,09,43091,3989
2020-06-04,Connecticut,09,43239,4007
2020-06-05,Connecticut,09,43460,4038
2020-06-06,Connecticut,09,43818,4055
2020-06-07,Connecticut,09,43968,4071
2020-06-08,Connecticut,09,44092,4084
2020-06-09,Connecticut,09,44179,4097
2020-06-10,Connecticut,09,44347,4120
2020-06-11,Connecticut,09,44461,4146
2020-06-12,Connecticut,09,44689,4159
2020-06-13,Connecticut,09,44994,4186
2020-06-14,Connecticut,09,45088,4201
2020-06-15,Connecticut,09,45235,4204
2020-06-16,Connecticut,09,45349,4210
2020-06-17,Connecticut,09,45429,4219
2020-06-18,Connecticut,09,45440,4226
2020-06-19,Connecticut,09,45557,4238
2020-06-20,Connecticut,09,45715,4251
2020-06-21,Connecticut,09,45755,4260
2020-06-22,Connecticut,09,45782,4263
2020-06-23,Connecticut,09,45899,4277
2020-06-24,Connecticut,09,45913,4287
2020-06-25,Connecticut,09,45994,4298
2020-06-26,Connecticut,09,46059,4307
2020-06-27,Connecticut,09,46206,4311
2020-06-28,Connecticut,09,46303,4316
2020-06-29,Connecticut,09,46362,4320
2020-06-30,Connecticut,09,46514,4322
2020-07-01,Connecticut,09,46572,4324
2020-07-02,Connecticut,09,46646,4326
2020-07-03,Connecticut,09,46717,4335
2020-07-04,Connecticut,09,46717,4335
2020-07-05,Connecticut,09,46717,4335
2020-07-06,Connecticut,09,46976,4338
2020-07-07,Connecticut,09,47033,4338
2020-07-08,Connecticut,09,47108,4343
2020-07-09,Connecticut,09,47209,4348
2020-07-10,Connecticut,09,47287,4348
2020-07-11,Connecticut,09,47287,4348
2020-07-12,Connecticut,09,47287,4348
2020-07-13,Connecticut,09,47510,4371
2020-07-14,Connecticut,09,47530,4372
2020-07-15,Connecticut,09,47636,4380
2020-07-16,Connecticut,09,47750,4389
2020-07-17,Connecticut,09,47893,4396
2020-07-18,Connecticut,09,47893,4396
2020-07-19,Connecticut,09,47893,4396
2020-07-20,Connecticut,09,48055,4406
2020-07-21,Connecticut,09,48096,4406
2020-07-22,Connecticut,09,48223,4406
2020-07-23,Connecticut,09,48232,4410
2020-07-24,Connecticut,09,48776,4413
2020-07-25,Connecticut,09,48776,4413
2020-07-26,Connecticut,09,48776,4413
2020-07-27,Connecticut,09,48983,4418
2020-07-28,Connecticut,09,49077,4423
2020-07-29,Connecticut,09,49540,4425
2020-07-30,Connecticut,09,49670,4431
2020-07-31,Connecticut,09,49810,4432
2020-08-01,Connecticut,09,49810,4432
2020-08-02,Connecticut,09,49810,4432
2020-08-03,Connecticut,09,50062,4437
2020-08-04,Connecticut,09,50110,4437
2020-08-05,Connecticut,09,50225,4437
2020-08-06,Connecticut,09,50245,4437
2020-08-07,Connecticut,09,50320,4441
2020-08-08,Connecticut,09,50320,4441
2020-08-09,Connecticut,09,50320,4441
2020-08-10,Connecticut,09,50567,4444
2020-08-11,Connecticut,09,50684,4444
2020-08-12,Connecticut,09,50706,4450
2020-08-13,Connecticut,09,50782,4450
2020-08-14,Connecticut,09,50897,4453
2020-08-15,Connecticut,09,50897,4453
2020-08-16,Connecticut,09,50897,4453
2020-08-17,Connecticut,09,51267,4456
2020-08-18,Connecticut,09,51255,4456
2020-08-19,Connecticut,09,51314,4457
2020-08-20,Connecticut,09,51432,4458
2020-08-21,Connecticut,09,51519,4460
2020-08-22,Connecticut,09,51519,4460
2020-08-23,Connecticut,09,51519,4460
2020-08-24,Connecticut,09,52011,4460
2020-08-25,Connecticut,09,52040,4463
2020-08-26,Connecticut,09,52220,4463
2020-08-27,Connecticut,09,52350,4465
2020-08-28,Connecticut,09,52495,4465
2020-08-29,Connecticut,09,52495,4465
2020-08-30,Connecticut,09,52495,4465
2020-08-31,Connecticut,09,52879,4465
2020-09-01,Connecticut,09,53006,4466
2020-09-02,Connecticut,09,53108,4467
2020-09-03,Connecticut,09,53209,4468
2020-09-04,Connecticut,09,53365,4468
2020-09-05,Connecticut,09,53365,4468
2020-09-06,Connecticut,09,53365,4468
2020-09-07,Connecticut,09,53365,4468
2020-09-08,Connecticut,09,53782,4474
2020-09-09,Connecticut,09,53871,4474
2020-09-10,Connecticut,09,54093,4478
2020-09-11,Connecticut,09,54326,4480
2020-09-12,Connecticut,09,54326,4480
2020-09-13,Connecticut,09,54326,4480
2020-09-14,Connecticut,09,54895,4485
2020-09-15,Connecticut,09,55031,4485
2020-09-16,Connecticut,09,55166,4487
2020-09-17,Connecticut,09,55386,4488
2020-09-18,Connecticut,09,55527,4492
2020-09-19,Connecticut,09,55527,4492
2020-09-20,Connecticut,09,55527,4492
2020-09-21,Connecticut,09,56024,4495
2020-09-22,Connecticut,09,56160,4496
2020-09-23,Connecticut,09,56315,4497
2020-09-24,Connecticut,09,56472,4499
2020-09-25,Connecticut,09,56587,4501
2020-09-26,Connecticut,09,56587,4501
2020-09-27,Connecticut,09,56587,4501
2020-09-28,Connecticut,09,57147,4503
2020-09-29,Connecticut,09,57329,4505
2020-09-30,Connecticut,09,57550,4508
2020-10-01,Connecticut,09,57742,4511
2020-10-02,Connecticut,09,58297,4513
2020-10-03,Connecticut,09,58297,4513
2020-10-04,Connecticut,09,58297,4513
2020-10-05,Connecticut,09,59120,4517
2020-10-06,Connecticut,09,59241,4521
2020-10-07,Connecticut,09,59364,4522
2020-10-08,Connecticut,09,59748,4527
2020-10-09,Connecticut,09,60038,4530
2020-10-10,Connecticut,09,60038,4530
2020-10-11,Connecticut,09,60038,4530
2020-10-12,Connecticut,09,61377,4532
2020-10-13,Connecticut,09,61697,4533
2020-10-14,Connecticut,09,61861,4537
2020-10-15,Connecticut,09,62028,4540
2020-10-16,Connecticut,09,62830,4542
2020-10-17,Connecticut,09,62830,4542
2020-10-18,Connecticut,09,62830,4542
2020-10-19,Connecticut,09,64021,4554
2020-10-20,Connecticut,09,64455,4559
2020-10-21,Connecticut,09,64871,4567
2020-10-22,Connecticut,09,65373,4569
2020-10-23,Connecticut,09,66052,4577
2020-10-24,Connecticut,09,66052,4577
2020-10-25,Connecticut,09,66052,4577
2020-10-26,Connecticut,09,68099,4589
2020-10-27,Connecticut,09,68637,4595
2020-10-28,Connecticut,09,69127,4604
2020-10-29,Connecticut,09,70446,4609
2020-10-30,Connecticut,09,71207,4616
2020-10-31,Connecticut,09,71207,4616
2020-11-01,Connecticut,09,71207,4616
2020-11-02,Connecticut,09,73858,4627
2020-11-03,Connecticut,09,74843,4635
2020-11-04,Connecticut,09,75373,4645
2020-11-05,Connecticut,09,77060,4656
2020-11-06,Connecticut,09,78125,4671
2020-11-07,Connecticut,09,78125,4671
2020-11-08,Connecticut,09,78125,4671
2020-11-09,Connecticut,09,81463,4698
2020-11-10,Connecticut,09,82987,4707
2020-11-11,Connecticut,09,84741,4716
2020-11-12,Connecticut,09,85899,4726
2020-11-13,Connecticut,09,88645,4737
2020-11-14,Connecticut,09,88645,4737
2020-11-15,Connecticut,09,88645,4737
2020-11-16,Connecticut,09,93284,4759
2020-11-17,Connecticut,09,94986,4771
2020-11-18,Connecticut,09,97028,4784
2020-11-19,Connecticut,09,99381,4805
2020-11-20,Connecticut,09,101469,4828
2020-11-21,Connecticut,09,101469,4828
2020-11-22,Connecticut,09,101469,4828
2020-11-23,Connecticut,09,106740,4871
2020-11-24,Connecticut,09,107280,4881
2020-11-25,Connecticut,09,109152,4926
2020-11-26,Connecticut,09,109152,4926
2020-11-27,Connecticut,09,112581,4961
2020-11-28,Connecticut,09,112581,4961
2020-11-29,Connecticut,09,112581,4961
2020-11-30,Connecticut,09,117295,5020
2020-12-01,Connecticut,09,118754,5040
2020-12-02,Connecticut,09,121426,5091
