date,state,fips,cases,deaths
2020-03-12,Delaware,10,4,0
2020-03-13,Delaware,10,4,0
2020-03-14,Delaware,10,4,0
2020-03-15,Delaware,10,7,0
2020-03-16,Delaware,10,8,0
2020-03-17,Delaware,10,16,0
2020-03-18,Delaware,10,26,0
2020-03-19,Delaware,10,30,0
2020-03-20,Delaware,10,39,0
2020-03-21,Delaware,10,45,0
2020-03-22,Delaware,10,56,0
2020-03-23,Delaware,10,87,0
2020-03-24,Delaware,10,104,0
2020-03-25,Delaware,10,119,0
2020-03-26,Delaware,10,143,1
2020-03-27,Delaware,10,165,2
2020-03-28,Delaware,10,214,5
2020-03-29,Delaware,10,232,6
2020-03-30,Delaware,10,264,7
2020-03-31,Delaware,10,319,10
2020-04-01,Delaware,10,368,11
2020-04-02,Delaware,10,393,12
2020-04-03,Delaware,10,450,14
2020-04-04,Delaware,10,593,14
2020-04-05,Delaware,10,673,14
2020-04-06,Delaware,10,783,15
2020-04-07,Delaware,10,928,16
2020-04-08,Delaware,10,1116,19
2020-04-09,Delaware,10,1209,23
2020-04-10,Delaware,10,1326,32
2020-04-11,Delaware,10,1479,33
2020-04-12,Delaware,10,1625,35
2020-04-13,Delaware,10,1761,41
2020-04-14,Delaware,10,1926,43
2020-04-15,Delaware,10,2014,46
2020-04-16,Delaware,10,2075,52
2020-04-17,Delaware,10,2323,61
2020-04-18,Delaware,10,2538,67
2020-04-19,Delaware,10,2538,67
2020-04-20,Delaware,10,2745,72
2020-04-21,Delaware,10,2931,82
2020-04-22,Delaware,10,3200,89
2020-04-23,Delaware,10,3308,92
2020-04-24,Delaware,10,3442,100
2020-04-25,Delaware,10,3576,112
2020-04-26,Delaware,10,4034,120
2020-04-27,Delaware,10,4162,125
2020-04-28,Delaware,10,4575,137
2020-04-29,Delaware,10,4655,144
2020-04-30,Delaware,10,4734,152
2020-05-01,Delaware,10,4918,159
2020-05-02,Delaware,10,5038,168
2020-05-03,Delaware,10,5208,177
2020-05-04,Delaware,10,5288,182
2020-05-05,Delaware,10,5371,187
2020-05-06,Delaware,10,5778,193
2020-05-07,Delaware,10,5939,202
2020-05-08,Delaware,10,6083,213
2020-05-09,Delaware,10,6277,221
2020-05-10,Delaware,10,6447,224
2020-05-11,Delaware,10,6565,225
2020-05-12,Delaware,10,6741,237
2020-05-13,Delaware,10,6952,247
