date,state,fips,cases,deaths
2020-03-05,Nevada,32,2,0
2020-03-06,Nevada,32,2,0
2020-03-07,Nevada,32,2,0
2020-03-08,Nevada,32,4,0
2020-03-09,Nevada,32,4,0
2020-03-10,Nevada,32,4,0
2020-03-11,Nevada,32,7,0
2020-03-12,Nevada,32,11,0
2020-03-13,Nevada,32,19,0
2020-03-14,Nevada,32,21,0
2020-03-15,Nevada,32,26,0
2020-03-16,Nevada,32,45,1
2020-03-17,Nevada,32,55,1
2020-03-18,Nevada,32,82,1
2020-03-19,Nevada,32,99,1
2020-03-20,Nevada,32,165,2
2020-03-21,Nevada,32,165,2
2020-03-22,Nevada,32,190,2
2020-03-23,Nevada,32,265,4
2020-03-24,Nevada,32,315,6
2020-03-25,Nevada,32,405,10
2020-03-26,Nevada,32,535,10
2020-03-27,Nevada,32,621,10
2020-03-28,Nevada,32,738,14
2020-03-29,Nevada,32,920,15
2020-03-30,Nevada,32,1044,18
2020-03-31,Nevada,32,1113,26
2020-04-01,Nevada,32,1279,32
2020-04-02,Nevada,32,1458,38
2020-04-03,Nevada,32,1549,43
2020-04-04,Nevada,32,1758,46
2020-04-05,Nevada,32,1880,46
2020-04-06,Nevada,32,1971,58
2020-04-07,Nevada,32,2101,60
2020-04-08,Nevada,32,2318,80
2020-04-09,Nevada,32,2456,82
2020-04-10,Nevada,32,2606,86
2020-04-11,Nevada,32,2720,111
2020-04-12,Nevada,32,2860,113
2020-04-13,Nevada,32,3036,114
2020-04-14,Nevada,32,3137,130
2020-04-15,Nevada,32,3212,137
2020-04-16,Nevada,32,3321,142
2020-04-17,Nevada,32,3524,151
2020-04-18,Nevada,32,3626,155
2020-04-19,Nevada,32,3710,158
2020-04-20,Nevada,32,3830,163
2020-04-21,Nevada,32,3937,163
2020-04-22,Nevada,32,4081,187
2020-04-23,Nevada,32,4208,195
2020-04-24,Nevada,32,4398,203
2020-04-25,Nevada,32,4539,206
2020-04-26,Nevada,32,4638,206
2020-04-27,Nevada,32,4708,219
2020-04-28,Nevada,32,4812,225
2020-04-29,Nevada,32,4934,237
2020-04-30,Nevada,32,5053,243
2020-05-01,Nevada,32,5249,254
2020-05-02,Nevada,32,5390,257
2020-05-03,Nevada,32,5473,262
2020-05-04,Nevada,32,5627,266
2020-05-05,Nevada,32,5665,276
2020-05-06,Nevada,32,5744,286
2020-05-07,Nevada,32,5858,293
2020-05-08,Nevada,32,5942,301
2020-05-09,Nevada,32,6046,306
2020-05-10,Nevada,32,6120,306
2020-05-11,Nevada,32,6152,312
2020-05-12,Nevada,32,6311,321
2020-05-13,Nevada,32,6482,331
2020-05-14,Nevada,32,6604,339
2020-05-15,Nevada,32,6733,345
2020-05-16,Nevada,32,6810,349
2020-05-17,Nevada,32,6935,350
2020-05-18,Nevada,32,7059,364
2020-05-19,Nevada,32,7169,373
2020-05-20,Nevada,32,7301,378
2020-05-21,Nevada,32,7404,381
2020-05-22,Nevada,32,7531,387
2020-05-23,Nevada,32,7769,392
2020-05-24,Nevada,32,7886,394
2020-05-25,Nevada,32,7959,396
2020-05-26,Nevada,32,8059,396
2020-05-27,Nevada,32,8150,402
2020-05-28,Nevada,32,8247,410
2020-05-29,Nevada,32,8375,415
2020-05-30,Nevada,32,8519,417
2020-05-31,Nevada,32,8628,419
2020-06-01,Nevada,32,8701,420
