date,state,fips,cases,deaths
2020-03-13,Maine,23,2,0
2020-03-14,Maine,23,3,0
2020-03-15,Maine,23,12,0
2020-03-16,Maine,23,17,0
2020-03-17,Maine,23,32,0
2020-03-18,Maine,23,43,0
2020-03-19,Maine,23,52,0
2020-03-20,Maine,23,57,0
2020-03-21,Maine,23,70,0
2020-03-22,Maine,23,89,0
2020-03-23,Maine,23,107,0
2020-03-24,Maine,23,118,0
2020-03-25,Maine,23,142,0
2020-03-26,Maine,23,155,0
2020-03-27,Maine,23,168,1
2020-03-28,Maine,23,211,1
2020-03-29,Maine,23,253,3
2020-03-30,Maine,23,275,3
2020-03-31,Maine,23,303,5
2020-04-01,Maine,23,344,7
2020-04-02,Maine,23,376,7
2020-04-03,Maine,23,432,9
2020-04-04,Maine,23,456,10
2020-04-05,Maine,23,470,10
2020-04-06,Maine,23,499,10
2020-04-07,Maine,23,519,12
2020-04-08,Maine,23,537,14
2020-04-09,Maine,23,560,16
2020-04-10,Maine,23,586,17
2020-04-11,Maine,23,616,19
2020-04-12,Maine,23,633,19
2020-04-13,Maine,23,698,19
2020-04-14,Maine,23,734,20
2020-04-15,Maine,23,770,24
2020-04-16,Maine,23,796,27
2020-04-17,Maine,23,827,29
2020-04-18,Maine,23,847,32
2020-04-19,Maine,23,867,34
2020-04-20,Maine,23,875,35
2020-04-21,Maine,23,888,36
2020-04-22,Maine,23,907,39
2020-04-23,Maine,23,937,44
2020-04-24,Maine,23,965,47
2020-04-25,Maine,23,990,50
2020-04-26,Maine,23,1015,50
2020-04-27,Maine,23,1023,51
2020-04-28,Maine,23,1040,51
2020-04-29,Maine,23,1056,52
2020-04-30,Maine,23,1095,53
2020-05-01,Maine,23,1123,55
2020-05-02,Maine,23,1152,56
2020-05-03,Maine,23,1185,57
2020-05-04,Maine,23,1205,57
2020-05-05,Maine,23,1226,61
2020-05-06,Maine,23,1254,62
2020-05-07,Maine,23,1330,62
2020-05-08,Maine,23,1374,63
2020-05-09,Maine,23,1408,64
2020-05-10,Maine,23,1436,64
2020-05-11,Maine,23,1462,65
2020-05-12,Maine,23,1477,65
2020-05-13,Maine,23,1515,66
2020-05-14,Maine,23,1565,69
2020-05-15,Maine,23,1603,69
2020-05-16,Maine,23,1648,70
2020-05-17,Maine,23,1687,70
2020-05-18,Maine,23,1713,71
2020-05-19,Maine,23,1741,73
2020-05-20,Maine,23,1819,73
2020-05-21,Maine,23,1877,73
2020-05-22,Maine,23,1948,75
2020-05-23,Maine,23,2013,77
2020-05-24,Maine,23,2055,78
2020-05-25,Maine,23,2074,78
2020-05-26,Maine,23,2109,79
2020-05-27,Maine,23,2137,81
2020-05-28,Maine,23,2189,84
2020-05-29,Maine,23,2226,85
2020-05-30,Maine,23,2282,89
2020-05-31,Maine,23,2325,89
2020-06-01,Maine,23,2349,89
2020-06-02,Maine,23,2377,94
2020-06-03,Maine,23,2418,95
2020-06-04,Maine,23,2446,95
2020-06-05,Maine,23,2482,98
2020-06-06,Maine,23,2524,98
2020-06-07,Maine,23,2570,99
2020-06-08,Maine,23,2588,99
2020-06-09,Maine,23,2606,100
2020-06-10,Maine,23,2637,100
2020-06-11,Maine,23,2667,100
2020-06-12,Maine,23,2721,100
2020-06-13,Maine,23,2757,100
2020-06-14,Maine,23,2793,100
2020-06-15,Maine,23,2810,101
2020-06-16,Maine,23,2819,101
2020-06-17,Maine,23,2836,102
2020-06-18,Maine,23,2878,102
2020-06-19,Maine,23,2913,102
2020-06-20,Maine,23,2938,102
2020-06-21,Maine,23,2957,102
2020-06-22,Maine,23,2971,102
2020-06-23,Maine,23,2994,102
2020-06-24,Maine,23,3017,103
2020-06-25,Maine,23,3070,103
2020-06-26,Maine,23,3102,103
2020-06-27,Maine,23,3154,104
2020-06-28,Maine,23,3191,104
2020-06-29,Maine,23,3219,105
2020-06-30,Maine,23,3253,105
2020-07-01,Maine,23,3294,105
2020-07-02,Maine,23,3328,105
2020-07-03,Maine,23,3373,105
2020-07-04,Maine,23,3397,107
2020-07-05,Maine,23,3415,109
2020-07-06,Maine,23,3423,109
2020-07-07,Maine,23,3440,110
2020-07-08,Maine,23,3460,110
2020-07-09,Maine,23,3486,111
2020-07-10,Maine,23,3499,111
2020-07-11,Maine,23,3520,112
2020-07-12,Maine,23,3539,114
2020-07-13,Maine,23,3558,114
2020-07-14,Maine,23,3566,114
2020-07-15,Maine,23,3578,114
2020-07-16,Maine,23,3598,114
2020-07-17,Maine,23,3636,115
2020-07-18,Maine,23,3646,117
2020-07-19,Maine,23,3687,117
2020-07-20,Maine,23,3711,117
2020-07-21,Maine,23,3723,118
2020-07-22,Maine,23,3723,118
2020-07-23,Maine,23,3737,118
2020-07-24,Maine,23,3757,118
2020-07-25,Maine,23,3790,119
2020-07-26,Maine,23,3814,119
2020-07-27,Maine,23,3832,119
2020-07-28,Maine,23,3838,121
2020-07-29,Maine,23,3866,121
2020-07-30,Maine,23,3888,122
2020-07-31,Maine,23,3912,123
2020-08-01,Maine,23,3937,123
2020-08-02,Maine,23,3958,123
2020-08-03,Maine,23,3970,124
2020-08-04,Maine,23,3975,123
2020-08-05,Maine,23,3992,124
2020-08-06,Maine,23,3997,124
2020-08-07,Maine,23,4014,124
2020-08-08,Maine,23,4026,125
2020-08-09,Maine,23,4042,125
2020-08-10,Maine,23,4049,125
2020-08-11,Maine,23,4050,126
2020-08-12,Maine,23,4070,126
2020-08-13,Maine,23,4089,126
2020-08-14,Maine,23,4115,126
2020-08-15,Maine,23,4144,127
2020-08-16,Maine,23,4168,127
2020-08-17,Maine,23,4197,127
2020-08-18,Maine,23,4213,127
2020-08-19,Maine,23,4234,127
2020-08-20,Maine,23,4252,128
2020-08-21,Maine,23,4285,129
2020-08-22,Maine,23,4317,130
2020-08-23,Maine,23,4335,131
2020-08-24,Maine,23,4356,131
2020-08-25,Maine,23,4368,131
2020-08-26,Maine,23,4389,132
2020-08-27,Maine,23,4414,132
2020-08-28,Maine,23,4436,132
2020-08-29,Maine,23,4489,132
2020-08-30,Maine,23,4512,132
2020-08-31,Maine,23,4526,132
2020-09-01,Maine,23,4548,132
2020-09-02,Maine,23,4567,133
2020-09-03,Maine,23,4617,133
2020-09-04,Maine,23,4632,134
2020-09-05,Maine,23,4667,134
2020-09-06,Maine,23,4682,134
2020-09-07,Maine,23,4701,134
2020-09-08,Maine,23,4713,134
2020-09-09,Maine,23,4734,134
2020-09-10,Maine,23,4760,134
2020-09-11,Maine,23,4792,134
2020-09-12,Maine,23,4834,135
2020-09-13,Maine,23,4863,136
2020-09-14,Maine,23,4903,136
2020-09-15,Maine,23,4918,137
2020-09-16,Maine,23,4941,138
2020-09-17,Maine,23,4962,138
2020-09-18,Maine,23,5005,138
2020-09-19,Maine,23,5035,139
2020-09-20,Maine,23,5079,139
2020-09-21,Maine,23,5106,140
2020-09-22,Maine,23,5146,140
2020-09-23,Maine,23,5171,140
2020-09-24,Maine,23,5215,140
2020-09-25,Maine,23,5235,140
2020-09-26,Maine,23,5260,140
2020-09-27,Maine,23,5288,140
2020-09-28,Maine,23,5300,140
2020-09-29,Maine,23,5337,141
2020-09-30,Maine,23,5391,141
2020-10-01,Maine,23,5431,142
2020-10-02,Maine,23,5468,142
2020-10-03,Maine,23,5486,142
2020-10-04,Maine,23,5519,142
2020-10-05,Maine,23,5545,142
2020-10-06,Maine,23,5565,142
2020-10-07,Maine,23,5604,142
2020-10-08,Maine,23,5639,142
2020-10-09,Maine,23,5666,143
2020-10-10,Maine,23,5696,143
2020-10-11,Maine,23,5723,143
2020-10-12,Maine,23,5752,143
2020-10-13,Maine,23,5780,143
2020-10-14,Maine,23,5816,143
2020-10-15,Maine,23,5836,144
2020-10-16,Maine,23,5865,145
2020-10-17,Maine,23,5913,146
2020-10-18,Maine,23,5939,146
2020-10-19,Maine,23,5962,146
2020-10-20,Maine,23,5989,146
2020-10-21,Maine,23,6027,146
2020-10-22,Maine,23,6064,146
2020-10-23,Maine,23,6095,146
