date,state,fips,cases,deaths
2020-03-14,Idaho,16,5,0
2020-03-15,Idaho,16,5,0
2020-03-16,Idaho,16,5,0
2020-03-17,Idaho,16,9,0
2020-03-18,Idaho,16,11,0
2020-03-19,Idaho,16,23,0
2020-03-20,Idaho,16,31,0
2020-03-21,Idaho,16,42,0
2020-03-22,Idaho,16,47,0
2020-03-23,Idaho,16,50,0
2020-03-24,Idaho,16,73,0
2020-03-25,Idaho,16,123,0
2020-03-26,Idaho,16,189,3
2020-03-27,Idaho,16,232,4
2020-03-28,Idaho,16,262,5
2020-03-29,Idaho,16,310,6
2020-03-30,Idaho,16,415,7
2020-03-31,Idaho,16,526,9
2020-04-01,Idaho,16,669,9
2020-04-02,Idaho,16,891,9
2020-04-03,Idaho,16,1012,10
2020-04-04,Idaho,16,1076,10
2020-04-05,Idaho,16,1100,10
2020-04-06,Idaho,16,1170,13
2020-04-07,Idaho,16,1210,15
2020-04-08,Idaho,16,1232,19
2020-04-09,Idaho,16,1366,24
2020-04-10,Idaho,16,1425,25
2020-04-11,Idaho,16,1438,27
2020-04-12,Idaho,16,1457,27
2020-04-13,Idaho,16,1499,33
2020-04-14,Idaho,16,1538,39
2020-04-15,Idaho,16,1587,41
2020-04-16,Idaho,16,1609,41
2020-04-17,Idaho,16,1655,43
2020-04-18,Idaho,16,1668,44
2020-04-19,Idaho,16,1672,45
2020-04-20,Idaho,16,1736,48
2020-04-21,Idaho,16,1766,51
2020-04-22,Idaho,16,1802,54
2020-04-23,Idaho,16,1836,54
2020-04-24,Idaho,16,1870,54
2020-04-25,Idaho,16,1887,56
2020-04-26,Idaho,16,1897,56
2020-04-27,Idaho,16,1917,58
2020-04-28,Idaho,16,1952,60
2020-04-29,Idaho,16,1984,60
2020-04-30,Idaho,16,2016,63
2020-05-01,Idaho,16,2035,63
2020-05-02,Idaho,16,2061,64
2020-05-03,Idaho,16,2059,64
2020-05-04,Idaho,16,2106,64
2020-05-05,Idaho,16,2127,66
2020-05-06,Idaho,16,2158,67
2020-05-07,Idaho,16,2178,67
